Make,Type,Mass (kg),CO2 Emissions (g/km),Engine Power (kW),Fuel Consumption
MERCEDES-BENZ,GLE 350 DE 4MATIC,2695.0,18.0,145.0,0.7
TOYOTA,YARIS,1160.0,125.0,92.0,5.2
TOYOTA,PROACE CITY VERSO,1570.0,152.0,81.0,6.7
CITROEN,C3,1055.0,123.0,61.0,5.5
PEUGEOT,3008,1648.0,121.0,100.0,6.0
FORD,PUMA,1315.0,122.0,91.0,5.4
SEAT,SEAT LEON,1349.0,133.0,110.0,5.8
AUDI,A3 40 TFSIE,1625.0,26.0,110.0,1.1
HYUNDAI,I20,1190.0,117.0,74.0,5.1
TOYOTA,TOYOTA COROLLA,1455.0,114.0,72.0,5.0
OPEL,CORSA,1175.0,114.0,74.0,5.1
KIA,STONIC,1260.0,129.0,88.0,5.7
FORD,KUGA,1689.0,123.0,111.0,5.4
SEAT,ARONA,1231.0,127.0,85.0,5.6
JEEP,COMPASS,1575.0,129.0,96.0,5.7
SUZUKI,S-CROSS,1293.0,119.0,95.0,4.7
BMW,X1 XDRIVE25E,1930.0,17.0,100.0,6.0
FORD,KUGA,1859.0,21.0,111.0,0.9
VOLKSWAGEN VW,T-ROC,1304.0,129.0,85.0,5.7
MERCEDES-BENZ,GLC 300 E 4MATIC,2360.0,12.0,150.0,0.5
SEAT,SEAT LEON SP,1397.0,130.0,110.0,5.7
SKODA,FABIA,1159.0,115.0,70.0,5.1
NISSAN,NISSAN QASHQAI,1685.0,117.0,116.0,5.2
OPEL,ASTRA SPORTS TOURER,1483.0,124.0,96.0,5.1
TOYOTA,TOYOTA YARIS,1170.0,97.0,68.0,4.3
PEUGEOT,308,1420.0,129.0,96.0,5.7
BMW,320D,1740.0,137.0,140.0,5.2
VOLKSWAGEN,GOLF,1304.0,118.0,81.0,7.3
KIA,PICANTO,984.0,127.0,62.0,5.6
SKODA,KAMIQ,1233.0,124.0,85.0,5.5
FORD,PUMA,1301.0,121.0,91.0,5.4
LEXUS,LEXUS UX300H,1570.0,114.0,112.0,5.1
BMW,M2,1800.0,221.0,338.0,9.8
VOLKSWAGEN,T-CROSS,1254.0,128.0,70.0,5.7
PEUGEOT,408,1468.0,137.0,96.0,6.0
AUDI,A6 AVANT,1845.0,153.0,150.0,5.8
MERCEDES BENZ,CLA 200 D,1595.0,134.0,110.0,5.1
CITROEN,C3,1055.0,122.0,61.0,5.4
NISSAN,NISSAN QASHQAI,1665.0,119.0,116.0,5.3
KIA,SPORTAGE,1649.0,132.0,118.0,5.8
RENAULT,CLIO,1213.0,133.0,67.0,5.9
LAND ROVER,RANGE ROVER SPORT,2810.0,17.0,294.0,0.8
BMW,116I,1395.0,130.0,80.0,5.7
AUDI,A1 SPORTBACK,1190.0,126.0,85.0,5.6
KIA,XCEED,1400.0,141.0,117.0,6.2
NISSAN,NISSAN QASHQAI,1404.0,142.0,103.0,6.3
MERCEDES-BENZ,GLB 200 D 4MATIC,1755.0,154.0,110.0,5.9
FORD,PUMA ST-LINE,1369.0,129.0,92.0,5.7
DACIA,SANDERO,1171.0,127.0,67.0,5.6
TOYOTA,TOYOTA COROLLA,1575.0,121.0,113.0,5.4
RENAULT,AUSTRAL,1592.0,105.0,96.0,4.7
DACIA,DUSTER,1342.0,141.0,110.0,6.2
VOLVO,S60,1715.0,141.0,145.0,6.2
TOYOTA,TOYOTA COROLLA,1475.0,106.0,72.0,4.7
RENAULT,KANGOO,1550.0,154.0,75.0,6.8
VOLKSWAGEN,TIGUAN,1616.0,141.0,110.0,6.2
VOLKSWAGEN,POLO,1165.0,118.0,70.0,5.2
VOLKSWAGEN,CADDY,1721.0,137.0,90.0,5.2
AUDI,Q3 SPORTBACK,1580.0,140.0,110.0,7.2
FORD,FOCUS,1532.0,133.0,85.0,5.1
SKODA,OCTAVIA,1352.0,121.0,81.0,5.3
VOLKSWAGEN VW,MULTIVAN,2220.0,223.0,150.0,8.5
SEAT,TARRACO,1665.0,163.0,110.0,7.2
RENAULT,MEGANE,1415.0,135.0,103.0,6.0
SUZUKI,VITARA,1255.0,119.0,95.0,5.3
SEAT,SEAT LEON SP,1501.0,121.0,110.0,4.6
HYUNDAI,I 30,1316.0,121.0,88.0,5.3
TOYOTA,RAV4,1720.0,131.0,131.0,5.8
HYUNDAI,SANTA FE,2040.0,37.0,132.0,1.6
SEAT,IBIZA,1178.0,121.0,85.0,5.3
KIA,SPORTAGE,1526.0,150.0,110.0,1.0
SEAT,ARONA,1231.0,127.0,85.0,5.6
SKODA,OCTAVIA,1401.0,116.0,85.0,5.1
CUPRA,CUPRA LEON SP,1540.0,164.0,180.0,7.2
TOYOTA,TOYOTA RAV4,1665.0,126.0,131.0,5.6
DACIA,JOGGER,1280.0,130.0,81.0,5.8
VOLKSWAGEN VW,POLO,1138.0,124.0,59.0,5.5
BMW,318D,1735.0,135.0,110.0,5.2
VOLKSWAGEN,CADDY,1627.0,149.0,84.0,6.6
KIA,STONIC,1225.0,121.0,74.0,5.3
VOLKSWAGEN,TAIGO,1217.0,124.0,70.0,5.5
SKODA,KAROQ,1481.0,129.0,85.0,4.9
PEUGEOT,408,1467.0,136.0,96.0,6.0
RENAULT,CLIO,1188.0,123.0,103.0,5.5
PEUGEOT,208,1108.0,120.0,55.0,5.4
SUZUKI,SX4 SUZUKI SX4 S-CROSS,1435.0,131.0,75.0,5.8
PEUGEOT,308,1420.0,132.0,96.0,5.8
OMODA,OMODA5,1498.0,170.0,136.0,7.5
TOYOTA,TOYOTA AYGO X,1045.0,113.0,53.0,5.0
CITROEN,C3 AIRCROSS,1310.0,127.0,81.0,4.8
KIA,CEED,1608.0,29.0,77.0,1.3
AUDI,Q3 SPORTBACK,1655.0,153.0,110.0,5.8
AUDI,A4 ALLROAD QUATTRO,1720.0,157.0,150.0,6.0
PEUGEOT,2008,1372.0,111.0,100.0,4.9
TOYOTA,TOYOTA AYGO X,1040.0,111.0,53.0,4.9
KIA,SPORTAGE,1526.0,150.0,110.0,1.0
OPEL,CROSSLAND,1312.0,142.0,96.0,6.3
TOYOTA,TOYOTA COROLLA,1420.0,100.0,72.0,4.4
SKODA,KAMIQ,1279.0,137.0,110.0,6.1
SKODA,KAROQ,1408.0,140.0,110.0,6.2
VOLKSWAGEN,GOLF,1459.0,174.0,221.0,7.7
AUDI,Q5 SPORTBACK 50 TFSI E,2150.0,41.0,195.0,1.8
AUDI,S3 LIMOUSINE,1610.0,189.0,245.0,8.3
AUDI,A5 SPORTBACK,1585.0,144.0,110.0,6.3
CUPRA,FORMENTOR,1616.0,192.0,228.0,8.5
DACIA,DUSTER,1498.0,137.0,96.0,5.0
DACIA,SANDERO,1147.0,120.0,67.0,5.3
OPEL,CORSA,1110.0,120.0,55.0,5.3
DACIA,DUSTER,1379.0,124.0,96.0,5.5
VOLKSWAGEN,T-ROC,1292.0,143.0,81.0,6.3
VOLKSWAGEN VW,POLO,1138.0,128.0,59.0,5.6
PEUGEOT,3008,1504.0,142.0,96.0,5.4
BMW,X1 XDRIVE20D U11 B47,1765.0,128.0,110.0,4.9
LYNK&CO,LYNK & CO 01,1954.0,24.0,132.0,1.0
CITROEN,C3 AIRCROSS,1291.0,133.0,81.0,5.9
SKODA,KODIAQ,1680.0,148.0,110.0,7.2
VOLKSWAGEN VW,TIGUAN,1750.0,175.0,142.0,6.7
DACIA,SANDERO,1171.0,127.0,67.0,5.6
FIAT,PANDA,1045.0,108.0,52.0,4.8
