Make,Type,Mass (kg),CO2 Emissions (g/km),Engine Power (kW),Fuel Consumption
RENAULT,CAPTUR,1332.0,118.0,74.0,7.3
SKODA,OCTAVIA RS,1533.0,162.0,180.0,7.1
SKODA,SUPERB,1850.0,9.0,110.0,0.4
FORD,PUMA,1315.0,121.0,91.0,7.3
KIA,CEED,1298.0,132.0,73.0,5.8
VOLKSWAGEN VW,TOURAN,1632.0,140.0,90.0,5.3
PEUGEOT,208,1165.0,117.0,74.0,5.2
MG,MG HS,1610.0,174.0,119.0,7.6
DACIA,SANDERO,1229.0,114.0,74.0,5.8
LANCIA,YPSILON,1085.0,110.0,52.0,4.9
LAND ROVER,RANGE ROVER EVOQUE,1992.0,170.0,150.0,6.5
VOLKSWAGEN,TAIGO,1255.0,136.0,81.0,6.0
VOLVO,V60 CROSS COUNTRY,1886.0,170.0,184.0,7.5
MERCEDES-BENZ,A 200,1440.0,135.0,120.0,6.0
AUDI,Q5 SPORTBACK,1900.0,176.0,150.0,6.7
HYUNDAI,TUCSON,1500.0,152.0,110.0,6.7
CUPRA,CUPRA LEON,1504.0,172.0,221.0,7.6
TOYOTA,YARIS CROSS,1250.0,101.0,68.0,5.1
NISSAN,NISSAN JUKE,1400.0,112.0,69.0,5.0
VOLVO,XC40,1688.0,153.0,120.0,6.7
DACIA,SANDERO,1225.0,113.0,67.0,7.0
PEUGEOT,2008,1267.0,123.0,74.0,5.4
RENAULT,CAPTUR E-TECH HYBRID,1436.0,106.0,69.0,4.7
AUDI,Q5,1880.0,170.0,150.0,6.5
KIA,XCEED,1347.0,136.0,73.0,6.0
DACIA,JOGGER,1327.0,120.0,67.0,6.1
RENAULT,CAPTUR,1354.0,120.0,67.0,7.6
KIA,PICANTO,974.0,110.0,49.0,4.9
SKODA,SUPERB,1853.0,8.0,110.0,0.4
FORD,FIESTA,1201.0,125.0,74.0,5.5
TOYOTA,TOYOTA YARIS CROSS,1250.0,101.0,68.0,4.5
FIAT,FIAT TIPO,1375.0,116.0,96.0,4.4
CITROEN,C3,1106.0,123.0,61.0,5.5
VOLKSWAGEN,TOURAN,1752.0,141.0,110.0,5.4
MERCEDES BENZ,CLA 250 E,1765.0,26.0,120.0,1.1
RENAULT,CLIO,1191.0,119.0,67.0,5.3
LEXUS,LEXUS LM350H,2420.0,163.0,140.0,7.2
DACIA,DUSTER,1518.0,141.0,84.0,5.4
VOLKSWAGEN,POLO,1196.0,126.0,70.0,5.5
JEEP,COMPASS,1575.0,131.0,96.0,5.8
OPEL,CORSA,1203.0,124.0,74.0,5.5
VOLKSWAGEN VW,GOLF,1417.0,126.0,110.0,5.5
RENAULT,CLIO,1178.0,118.0,67.0,5.2
DACIA,DUSTER,1429.0,125.0,85.0,4.8
